5.382	1.382	2.37	1.265	0.6325
6.72	1.546	3.684	0.941	0.941
10.994	1.622	7.125	1.4	1.4
6.629	1.537	3.951	0.714	0.714
6.513	1.408	3.76	0.803	0.803
5.928	1.612	3.156	0.723	0.723
7.104	1.412	4.174	0.863	0.863
5.187	1.446	2.664	0.696	0.696
7.622	1.963	4.223	0.921	0.921
5.947	1.758	2.92	0.808	0.808
7.205	1.41	4.483	0.791	0.791
5.756	1.521	2.97	0.746	0.746
6.989	1.58	3.596	1.316	0.658
6.24	1.505	2.694	1.477	0.7385
6.561	1.51	3.717	0.893	0.893
5.412	1.964	2.407	0.658	0.658
5.633	1.768	2.668	0.76	0.76
6.704	1.573	3.883	0.743	0.743
5.849	1.516	3.074	0.735	0.735
4.784	1.37	2.379	0.69	0.69
5.819	1.829	2.752	0.851	0.851
6.011	1.706	3.175	0.636	0.636
6.079	1.588	3.092	0.778	0.778
7.258	1.786	3.261	1.619	0.8095
6.483	1.884	2.916	1.199	0.5995
6.539	1.91	2.988	1.083	1.083
6	1.535	3.136	0.87	0.87
4.839	1.608	2.888
6.371	1.617	4.38
4.628	1.658	2.632
6.131	1.734	4.027
5.285	1.788	3.117
5.75	1.657	3.76
5.789	2.068	3.312
6.487	1.773	4.25
5.825	1.864	3.454
7.155	1.632	5.036
5.001	1.616	2.979
12.287	1.542	10.345
5.77	1.56	2.982	0.707	0.707
6.542	1.611	3.676	0.706	0.706
5.658	1.593	2.833	0.738	0.738
8.507	1.791	4.837	1.116	1.116
6.032	1.759	2.902	0.888	0.888
6.456	1.841	3.205	0.835	0.835
6.536	1.804	3.299	0.885	0.885
9.964	2.255	5.97	1.109	1.109
7.17	1.579	4.267	0.813	0.813
6.426	1.662	3.617	0.756	0.756
5.785	1.605	2.702	0.941	0.941
6.781	1.613	2.814	1.649	0.8245
5.156	1.288	2.408	1.057	0.5285
6.212	1.486	3.048	1.209	0.6045
5.45	1.423	2.546	1.044	0.522
6.521	1.507	3.392	1.172	0.586
5.29	1.595	2.275	0.975	0.4875
5.411	1.36	2.414	1.241	0.6205
5.238	1.432	2.263	1.119	0.5595
5.431	1.461	2.454	1.095	0.5475
5.256	1.349	2.42	1.075	0.5375
6.177	1.708	2.568	1.424	0.712
9.848	2.278	5.439	1.482	0.741
6.418	1.842	2.861	1.197	0.5985
6.618	1.441	3.67	1.083	0.5415
6.195	1.39	3.297	0.987	0.987
6.054	1.681	2.861	0.981	0.981
4.951	1.36	2.436	0.725	0.725
7.33	1.659	3.364	1.606	0.803
10.536	1.532	2.664	1.385	0.6925	4.192	4.192
7.205	2.085	3.154	1.378	0.689
7.488	1.683	3.821	1.369	0.6845
4.99	1.4	2.399	0.852	0.852
6.178	1.418	3.699	0.659	0.659
12.527	1.647	2.956	2.858	0.952667	4.255	4.255
12.043	1.676	2.933	2.072	0.690667	4.431	4.431
7.687	1.361	3.611	2.117	0.52925
12.834	1.509	2.53	3.503	1.7515	4.332	4.332
10.468	1.633	2.697	1.301	0.6505	4.04	4.04
11.102	1.484	3.445	1.315	0.6575	4.06	4.06
9.723	1.423	2.696	1.096	0.548	3.783	3.783
10.385	1.362	3.475	1.085	0.5425	3.795	3.795
5.71	1.468	2.687	1.08	0.54
